Package Name,App Name,Google Play Page,App Description
com.burockgames.timeclocker,StayFree - Stay Focused,https://play.google.com/store/apps/details?id=com.burockgames.timeclocker&hl=en&gl=US,"✦What is StayFree?

StayFree - Screen Time Tracker & Limit App Usage is a self control, productivity and phone addiction controller app that allows you to show how much time you spend on your smartphone and helps you focus by restricting the usage of apps. You can set usage limits for your apps and receive alerts when exceeding those usage limits. You can also view the details of your usage and statistics on your usage history.


✦What makes StayFree special?

✔ Highest rated screen time & self control app
✔ Extremely fast and user-friendly interface
✔ Most accurate usage statistics
✔ Cross-platform usage statistics and analysis
✔ Quick customer support
✔ Battery friendly
✔ Totally ad-free!

StayFree - Screen Time Tracker & Limit App Usage helps you:
📵 overcome phone addiction
🔋 stay focused
😌 self-control
📱 reduce screen time
🛡 reduce distraction
💯 boost productivity
🤳 unplug more often
📈 increase your digital wellbeing
👪 spend quality time with family or yourself
💪 reduce wasted time with digital detox

✦App’s Features:

★ App usage history: view charts and statistics of your usage history.
★ Over-use reminder: notify you when you are spending too much time in an app and start your digital detox.
★ Block mode: temporarily block any application that you are over-using.
★ Cross-platform: StayFree is now multi-platform! Save time on all your devices by linking the Android app to our Chrome and Firefox extensions.
★ Focus mode: Create schedules for distracting apps to stay focused
★ Sleep mode: Schedule your sleep time to disable apps
★ Pause apps: Pause distracting apps to stop using rest of the day
★ Export mode: export your usage history to CSV or Microsoft Excel file.
★ Inspiring quotations: show inspiring quotations that encourage productivity and less usage of your phone.
★ Interface customization: there are 5 themes - customize the app how you want!
★ Lock mode: requires a password to change the settings.
★ Widget: show most used apps and total usage on a nice widget.
★ Pie chart graph: view daily and monthly application usage percentages.


✦THIS APP USES ACCESSIBILITY SERVICES

Android's Accessibility Services are used for detecting which website you are on and, in turn, blocking the websites you have requested to block. All information is maintained in accordance with our Privacy Policy and Sensor Tower is using the respective permissions with active consent by the end-user.


✦YOU ARE IMPORTANT

We'd really appreciate it if you could rate us 5 stars here on Google Play. Rating is very important to us in establishing trust with our user base. If you have suggestions or want to see something improved, don't hesitate to reach out!


✦CONTACT US

We love hearing from our users and getting their feedback! If you run into any issues with the app or have suggestions on what we can do to improve it, please send us an email: hello.stayfree@gmail.com

✦StayFree Extension

StayFree helps you stay focused and avoid distracting websites on the desktop as well. It is available on Firefox & Google Chrome Store."
com.appbuck3t.screentime,Screen Time - Stay Focused,https://play.google.com/store/apps/details?id=com.appbuck3t.screentime&hl=en&gl=US,"""Screen Time - Limit phone usage & Stay focused"" takes the Digital Well-being app as a starting point, makes it available to all Android users up to Lollipop, offers deeper & enhanced insights & powerful customization. Screen Time even allows you to set daily app usage limits & enter focus mode by setting downtime for a selected period for better parental control.

Break your phone addiction & take charge of your day with Screen Time - Restrain yourself & Stay focused 🎯

❖ With ""Screen Time Tracker, Manager & Parental Control"" you can -
✔ Limit app usage on your smartphone
✔ Track / Monitor screen time with a powerful screen time tracker
✔ Set a daily per-app limit to limit screen time
✔ Set focus mode timings & allow only important apps to limit screen time
✔ Compare screen time with previous data to limit app usage
✔ Control / cut down screen time with the powerful screen time tracker
✔ Control children's excessive screen time with enhanced Parental control
✔ Compare screen time with previous data to limit phone usage
✔ Effectively Limit phone usage time
✔ Get a detailed view of the screen time usage
✔ Get daily screen time in the notification drawer
✔ Beautiful graphs & statistics
✔ Digital Detox for a Better Life
✔ Helps you to spend your quality time wisely


❖ Disconnect when you want to
✔ Limit app usage
✔ Limit phone usage
✔ Daily app limit lets you set limits for how much you use apps
✔ Focus mode blocks selected apps in the selected time frame


Individuals are ending up increasingly more dependent on cell phones. More individuals don't underst& that they invest a great deal of energy consistently on their applications & games. Utilizing Screen Time, we can more readily comprehend the utilization of our cell phones. Regardless of whether it's a game or an application, when you introduce Screen Time, you are an individual with time the executive's mindfulness. An effective individual can deal with his time better.

Normally we don't underst& that we invest a great deal of energy in certain applications. With Screen Time tracker, you can make you increasingly mindful of your propensity for utilizing your phone & helps you to limit phone usage & spend your quality time wisely. Perhaps you observed such a large number of recordings, possibly you invested an excessive amount of energy in informal communities.

❖ Daily / Weekly / Monthly app usage
A screen Time tracker will show a detailed view of your mobile phone usage, accurate to the use of the phone & how long has it been used. With the Screen Time tracker, you can better allocate mobile phone usage time & spend your quality time wisely. With the Screen Time tracker, you can know the daily duration of each app used.

❖ Daily App Limit for each app for better parental control
You can set a daily screen time limit for each app to limit app usage. When the usage time exceeds, you will be notified & a page similar to App Lock will be displayed. This will remind you that the usage of the app is exceeded

❖ Daily Focus mode for apps for better parental control
You can set a daily focus mode. When the app is selected to block in focus mode, you will be notified & a page similar to App Lock will be displayed. This will remind you that this app not allowed while you are in focus mode.

Screen Time - Limit phone usage & Stay focused deserves your try right away. It is the simplest but the most useful screen time tracker & parental control application that helps you to spend your quality time wisely. We're always excited to hear from you. If you have any problems or suggestions, feel free to contact us.

*** Screen Time - Restrain yourself & Stay focused will not upload any of your information, including the usage of the app. All the data is on your phone ***"
tech.miidii.offscreen_android,OffScreen - Less Screen Time,https://play.google.com/store/apps/details?id=tech.miidii.offscreen_android&hl=en&gl=US,"OffScreen helps you track phone usage and keeps you stay focus.

With OffScreen, you can:

- Track screen time

• Set up your screen time goal, get daily insight.

• See screen time activities: Pickups, Checking Every, Walking Life, Stationary Life, Last Pickup, First Pickup, Best Break and Sleep Time

• Read sleep data from Health app


- Focus Mode

• Supports three modes: pomodoro, countdown and time accumulation

• Support lock screen and flip screen focus

• If you need to use your phone to look up a dictionary or use other applications during the concentration process, you can set a concentration app whitelist

• Categories your focus sessions by tag

• Pause at any time when you need the phone to help you study or search while you're in focus mode


- Visualize and share your data.

• View data in week/month/year view.

• Well-designed share card is ready for you.



- Breaking digital detox challenges

• Screen time challenge

• Pick up challenge

• Sleep challenge"
phosphorus.app.usage.screen.time,Digitox : Screen Time,https://play.google.com/store/apps/details?id=phosphorus.app.usage.screen.time&hl=en&gl=US,"✔️ Trusted Globally By Over 500.000 Users to Stop Their Screen Addiction

Why Digital Wellbeing?

😱 Do you feel that you are getting addicted to your smartphone and not able to feel the real life?

😱 Do you think that you are losing the real social life you had before?

😱 Do you wake up with your phone by your side and sleep with it next to you?

If you answered yes to any of the questions above, you might be a digital addicted. Let us help you to improve your digital wellbeing / digital health. 🚣

● Fight against Nomophobia!
Nomophobia is considered a disorder of the modern world and refers to discomfort or anxiety caused by being out of contact with phone, computer or a digital screen.

Digitox will help you understand your digital habits and will create digital usage limits for selected applications. Let digitox remind you when you wisely exceed your application limits.

📱 reduce screen time
🔋 stay focused
🛡 reduce distraction
💯 increase efficiency and productivity
🤳 unplug more often
⌚ stop phubbing
📈 increase your digital wellbeing
📵break phone addiction and manage your screen time
👪 spend quality time with family or yourself
💪 reduce wasted time with digital diet

● Key Features;
• Daily understanding of your digital habits / screen time
• Daily usage statistics
• Categorised screen time
• Digital usage reports for different periods today, yesterday and for the last 7 days
• Digital limit reminders / overuse alarms
• Overview of network statistics
• Easy to use and battery friendly
• Number of unlocks and notifications (not supported for all android devices)
• Parental control by setting a pin for app limits

You can categorise the apps to see your main purpose on your phone. Here are the pre-defined categories and you can edit titles to match with your life style;

Games, Music, Movies & Video, Photos & Images, Social & Communication, News & Magazines, Maps & Navigation, Productivity, Health & Fitness and more in the app.

● We respect your privacy
We never collect or share your private usage data. You can rest assured that everything you see in the application stays in your phone.

● Support us
Thanks for using the app. We'd really appreciate if you could rate us 5 stars here on Google Play. Rating is very important for us. If you have any concerns or suggestions, please let us know.

Take action to be aware of your digital life and to keep your digital well-being as high as possible. 💙

Usage of Accessibility API:
The purpose of using this service is to observe app actions and to show overuse reminders instantly. If you don't give this permission, you won't be warned when you exceed the limit. No data collected for this service.

Digitox is an app usage analytics tools that get all the packages and display the usage information to the user. That's why QUERY_ALL_PACKAGES permission is required to app works. You can see the usage of this permission from screenshots and the video as well."
com.ezlapp.screen.time,Screen Time,https://play.google.com/store/apps/details?id=com.ezlapp.screen.time&hl=en&gl=US,"Screen Time - Manage time on mobile apps

Do you often forgot real-life & spend too much time on your mobile phone?
Falling too deep in a game or social network?
You not have enough time for study, works, family, real-life activity?

Download Screen Time, we will remind you about other important things in your life!

With Screen Time, you can set a limit time when using an app. For example, you can set maximum time to use Facebook or Twitter is about 30min, when you online excess that limit, Screen Time will warning you, bring you back to real-life.

Screen Time also give you more information of your time usage in apps. You will know how much times have spent on each apps, which app is most used.

We aslo added AppLock to help you protect your private data. You can enable AppLock feature and protect all sensitive information in Screen Time & other app.

★★★ Version 1.0.1 - Big Update ★★★
• Guest Mode: You can Allow or Block guest user using apps.
With guest mode you will never worry when some one borrow your phone. Keep your privacy at highest level.
• Down Time: Block or Allow using an app in certain time, for example: you can block using Facebook after 10 PM, spent more time to sleep or other activity."
com.google.android.apps.wellbeing,Digital Wellbeing,https://play.google.com/store/apps/details?id=com.google.android.apps.wellbeing&hl=en&gl=US,"See a complete picture of your digital habits and disconnect when you want to.

Get a daily view of your digital habits:
• How frequently you use different apps
• How many notifications you receive
• How often you check your phone or unlock your device

Disconnect when you want to:
• Daily app timers let you set limits for how much you use apps.
• Bedtime mode reminds you to switch off at night, setting a schedule to fade your screen to Grayscale while Do Not Disturb silences notifications for a good night’s sleep.
• Focus mode lets you pause distracting apps with a single tap so you can better focus your time. You can also set a schedule to turn on Focus mode automatically and reduce distractions while you’re at work, school, or home.

Get started:
• Look for Digital Wellbeing in your phone’s Settings menu"
com.app.floatingapptimer.com,Screen Time Digital Wellbeing,https://play.google.com/store/apps/details?id=com.app.floatingapptimer.com&hl=en&gl=US,"StayOff - Your Screen Time, Phone Usage Tracker

Your Time is in Your hands!

Save hours every day! App blocker. Get better sleep! Limit your screen time

👨‍🎓 How much screen time my apps use?
👨‍🎨 I have troubles sleeping!
🙍 I am unhappy.
👩‍🔬 I want to limit phone use so I can do my hobbies!
👨‍🎨 I want to stop phone addiction!
👨‍🔧 Do I watch too much YouTube?
👩‍🚀 I want to play less games!

☝️ Is that you? Try ""StayOff"" now and get some space of your screen!

*** ⏱️StayOff⏱️® ***

The best screen time tracker and app blocker in one app!

👌 Free Detailed screen time of your phone time, every day, every week
👌 Free Apps Tracking how many times you open apps
👌 Free Weekly and monthly summary
👌 Free Interesting app usage statistics
👌 Long term average improvement of your digital wellbeing

Hour after hour, you spend more time on your phone. It is so easy to slip into phone addiction
We want to prevent this
There are so many interesting things that can be done instead.

Phone use harms you in two ways
1. Using phone before bed makes your sleep much worse. Sleep is extremely important!
2. Using phone first thing after waking up can cause you to be less happy for the rest of the day!

Your digital wellbeing during the day is important, but good sleep is essential for the longevity and health.

🏅Pro membership 🏅

You get access to the pro features that will allow you to take a full control over your phone usage.

📵Always see your app time on the screen (Really effective!)
📵App blocker, any app, any time of the day
📵Screen time notifications.

People on average spend 4 hours a day on the phone. That's a lot!
From the time you wake up, until you go to sleep there are on average 12 hours.
That's 33% of your day!

Track apps all day and then read interesting stats about your phone usage.

📊 Your average day
📊 Your worst day
📊 Your most used apps
📊 What percentage of your day was your screen time
📊 Which days did you use the tracking and which days were you slacking
📊 Total week times
📊 Total month times

Get the ""StayOff"" and save time! Sleep well!"
master.app.screentime,Screen Time - Restrain yoursel,https://play.google.com/store/apps/details?id=master.app.screentime&hl=en&gl=US,"People are becoming more and more addicted to mobile phones. Whether it is adults or children, whether at the time of dinner or at the parties, the problem of mobile addiction has become more and more serious. More people simply don't realize that they spend a lot of time every day on their apps and games. Using Screen Time, we can better understand the usage of our mobile phones. Whether it's a game or an app, when you install Screen Time, you are a person with time management awareness. A successful person can manage his time better.

Usually we don't realize that we spend a lot of time on some applications. with Screen Time, you can make you more aware of your habit of using your phone and make adjustments accordingly. Maybe you watched too many videos, maybe you spent too much time on social networks.

>>> App Daily usage
Screen Time will show a detailed view of the daily mobile phone usage, accurate to the use of the phone in each hour, which apps have been opened. How long has it been used, With Screen Time, you can better allocate mobile phone usage time. with Screen Time, you can know the duration of each hour of use and the type of app used.

>>> App Weekly usage
Up to a week of app usage. By checking the statistics of mobile phone usage in the last week. Know your daily mobile phone usage trends,

>>> App & Category Limit
You can set a daily duration limit for each app or type of app, and you can set a different duration for each day, such as on weekends. There are more game usage times. You can set different time limits for each day individually. When the usage time arrives, you will be notified and a page similar to App Lock will be displayed. This will remind you that the usage of the app or category is overtime

>>> App Always Allowed List
Some important applications in mobile phones, such as text messages, telephone calls, etc., can be whitelisted for these applications, so that the use of these applications will no longer be restricted. This will not affect your use.

*** We will not upload any of your information, including the usage of the app. All the data is on your phone ***"
com.actiondash.playstore,ActionDash: Screen Time Helper,https://play.google.com/store/apps/details?id=com.actiondash.playstore&hl=en&gl=US,"✔️ Trusted Globally By Over 1 Million Users to Break Their Phone Addiction
✔️Featured by Google as an 'Essential App' on Play Store
✔️ Available in 17 Global Languages including English, German, Spanish, French etc.


ActionDash takes the Digital Wellbeing app as a starting point, makes it available to all Android users, but it is more than that. ActionDash is here to help you find your phone/life balance and overcome your Phone Addiction. It also helps you Self-control and boost your Productivity by showing how much time you spend on your favorite apps and set app usage limits and enter ""focus mode"".

With ActionDash you will:

📱 reduce screen time
🔋 stay focused
🛡 reduce distraction
🔔 detect noisy apps
💯 increase efficiency and productivity
🤳 unplug more often
⌚ stop phubbing
📈 increase your digital wellbeing
📵break phone addiction and manage your screen time
👪 spend quality time with family or yourself
💪 reduce wasted time with digital diet

✦ KEY FEATURES :

Get a daily view of your digital habits:
★ Screen time: how much you use each apps and total
★ App launch history: how frequently you use different apps
★ Notification history: how many notifications you receive
★ Unlock history: how often you check your phone or unlock your device
★ Sleep mode: Schedule your sleep time to disable apps

Stay focused and self-control:
★ Focus mode: lets you pause distracting apps with a single tap so you can better focus your time. You can also set a schedule to turn on Focus mode automatically and reduce distractions while you’re at work, school, or home.
★ App usage limits: temporarily block any application that you are over-using and stay focused.

Have a deeper experience with enhanced insights:
📊 Screen time breakdown
📊 Your usage average
📊 Global usage average
📊 App session length breakdown"
com.mindefy.phoneaddiction.mobilepe,YourHour - ScreenTime Control,https://play.google.com/store/apps/details?id=com.mindefy.phoneaddiction.mobilepe&hl=en&gl=US,"✔️ Trusted Globally By Over 2 Million Users for Curing their Phone Addiction.
✔️ Best Tailored & Curated Solution to Awaken Self-Realization Against Excessive Usage
✔️ Available in 21 Global Languages including English, German, Spanish, French etc.
✔️ Get Personalized Challenge Recommendations to Break the Habit Loop.


At times, do you feel getting more & more addicted to smartphone and not able to stay FOCUSED? From waking up and sleeping with it next always. But is this affecting personal & professional life lately? Does it feel like losing Control & decreasing productivity?

Then we have got a Smart Digital Solution to achieve digital wellness.

Our app gives a variety of fun, user-friendly and personalized features that can help to track & control usage.

Key features of YourHour:

💙 Dashboard: Gateway to Complete Day!

Dashboard provides all essential information at one place. It keeps a track on ""Usage Time"" & “Unlock Count"" & thereby, gives a comparative info-graphic view of today’s and past 7 days activity.

💙 Goal Spots: Know Level of Addiction!

By analyzing data of past 7 days, we define Category of Phone Addict that user currently belong to from this listed six categories vis-a-vis Addicted, Obsessed, Dependent, Habitual, Achiever and Champion.

💙 ""Clock Timer"": See Days slip by!

""Floating Timer"" is one of unique feature to show realtime statistics. It appears on all apps so that users can see for themselves their time slipping by. It can easily be dragged & dropped anywhere on screen. And it would even change color from Green to Amber to Red, highlighting that preset limit has reached.

We don't block notifications or calls because we want users to be the best judge of their time.

💙 Tap That App!

This section shows comprehensive insights in a progress bar about how much individual apps has been used out of set limit. There are numerous setting that can be customized here as per own preference.

💙 Phone’s Daily Routine!

Timeline is a sequential diary of *What's Been Cooking* around whole day, it goes on recording every minute details. In short, it is *WHAT, WHEN and HOW MUCH* of all used apps.

💙 Multiple Detailed Reports!

Insightful Daily, Weekly and Monthly report with great analytics. Daily consolidated report gets delivered to you everyday through a notification. For Premium members, there is also an option to export PDF format of weekly and monthly reports.

💙 Export data to XLSX format!

We does not store any personal data, as everything is stored in local storage. Entire data can be exported in an excel-sheet since installation date for data analysis or statistics purpose.

💙 Widget: Everything On Screen!

User can also enable cool widget on home screen to get a summarized view without having to launch our app!

Each Day we are striving hard to make everyone live ""A Healthy Digital Life""!

💙 Stay Smart & Stay Healthy! 💙

: Credit for freely available images used here goes to Kirsty Barnby and Ryan Stone."
